model,instance,solver,seed,run_status,run_time,energy
nfc,24_4_2,ortools,,SOLVED,0.1625,9.4
dcmst,c_v15_a105_d9,ortools,,SOLVED,39.67,2847.84
accap,accap_a18_f140_t85,ortools,,ERR,1200.18131,85803.56
dcmst,c_v20_a190_d9,ortools,,ERR,1200.2246,84190.9
model,data1_4_6,ortools,,SOLVED,0.88468,63.19
nfc,30_5_12,ortools,,SOLVED,0.10674,7.62
sudoku_opt,sudoku_p22,picat,,SOLVED,32.851,2285.87
gfd-schedule2,n180f7d50m30k18_10124,picat,,ERR,1.824,138.31
sudoku_opt,sudoku_p23,picat,,SOLVED,10.3332,718.08
model,910_with_1_2_3_6_12_25_50_87,ortools,,SOLVED,230.91,16582.870000000003
dcmst,c_v20_a190_d4,picat,,ERR,0.5841,36.39
ttppv,circ20fnonbal,yuck,,ERR,1200.385,82555.22
mapf,ins_g32_p20_a10,yuck,,ERR,1227.424,85951.35
accap,accap_a40_f800_t180,ortools,,ERR,1200.3525,83097.28
tower,100_100_20_100-04,ortools,,ERR,1200.2511,84779.79000000001
yumi-static,p_10_GGGGG_GGGGG_yumi_grid_setup_5_5,picat,,ERR,0.88814,55.349999999999994
yumi-static,p_4_GG_GG_yumi_grid_setup_3_3,yuck,,ERR,1200.28299,72003.66
accap,accap_a12_f100_t60,ortools,,ERR,1200.1727,85609.36000000002
gfd-schedule2,n60f7d50m30k10_10124,picat,,ERR,0.5777,41.9
sudoku_opt,sudoku_p20,ortools,,SOLVED,9.3515,652.8
spot5,1405,ortools,,ERR,1200.44245,84242.32
model,data3_4_31,picat,,SOLVED,1145.05,81559.58
yumi-static,p_4_GS_SG_yumi_grid_setup_3_3,ortools,,ERR,1200.159833,71483.97
tower,tower_300_300_40_200-00,ortools,,ERR,1200.52426,85101.58
yumi-static,p_4_GG_GG_yumi_grid_setup_3_3,picat,,ERR,0.295226,18.15
yumi-static,p_8_SSSSS_SSS_yumi_grid_setup_3_4,picat,,ERR,0.5776,35.89
triangular,n30,ortools,,ERR,1200.40566,86472.32
model,data2_6_15,picat,,SOLVED,544.36,39241.82
sudoku_opt,sudoku_p90,picat,,SOLVED,1.21787,85.06
dcmst,s_v40_a100_d7,yuck,,ERR,1200.3675,84875.23999999999
ttppv,circ20bnonbal,yuck,,ERR,1200.37141,82485.76000000001
sudoku_opt,sudoku_p23,ortools,,SOLVED,50.396,3480.1400000000003
