model,instance,solver,seed,run_status,run_time,energy
nfc,18_3_12,ortools,,SOLVED,0.068408,1.324764
yumi-static,p_4_GG_GG_yumi_grid_setup_3_3,ortools,,SOLVED,4.442792,86.219506
tower,100_100_20_100-04,ortools,,SOLVED,137.530779,2617.159072
mapf,ins_g16_p10_a20,ortools,,SOLVED,49.581115,906.886108
tower,tower_070_070_15_085-09,ortools,,SOLVED,17.439047,330.834236
yumi-static,p_4_GG_GG_yumi_grid_setup_3_3,picat,,UNK,0.251968,4.8463
nfc,30_5_6,ortools,,SOLVED,0.072081,1.365903
tower,100_100_20_100-04,picat,,SOLVED,1161.348282,19680.604524
ttppv,circ14cnonbal,picat,,UNK,0.28426,5.340928
triangular,n18,ortools,,UNK,1200.087864,22959.209838
dcmst,c_v15_a105_d6,gecode,,SOLVED,47.431232,937.659159
ttppv,circ20jnonbal,ortools,,UNK,1200.16729,21986.428762
mapf,ins_g16_p10_a20,gecode,,UNK,1205.542293,24552.946178
tower,tower_070_070_15_085-09,picat,,SOLVED,699.482631,12303.635007
dcmst,c_v15_a105_d6,picat,,UNK,0.193798,3.544731
yumi-static,p_4_GG_GG_yumi_grid_setup_3_3,gecode,,SOLVED,241.516179,4754.784642
mapf,ins_g24_p20_a10,gecode,,UNK,1207.636864,22807.991111
triangular,n24,ortools,,UNK,1200.179799,22773.749925
dcmst,s_v40_a100_d7,picat,,UNK,0.21673,3.96111
triangular,n39,ortools,,UNK,1200.800341,24238.923056
tower,tower_500_500_50_300-01,ortools,,UNK,1200.533955,21881.446059
model,6872_with_1_2_3_3_4_4_5_6_7_9_10,gecode,,ERR,0.297465,5.543015
dcmst,c_v15_a105_d9,gecode,,SOLVED,653.205659,12914.368121
accap,accap_a4_f30_t15,picat,,SOLVED,270.94674,5258.561061
dcmst,c_v20_a190_d9,picat,,UNK,0.405892,6.927899
dcmst,c_v20_a190_d9,ortools,,SOLVED,10.314215,192.531061
wordpress,Wordpress7_Offers500,ortools,,UNK,1200.077541,21952.497879
mapf,ins_g24_p20_a10,picat,,UNK,75.165357,1084.183443
ttppv,circ14cnonbal,ortools,,UNK,1200.17504,22887.078556
model,data3_5_31,ortools,,SOLVED,431.736444,8292.409068
spot5,509,ortools,,SOLVED,7.107373,137.392104
spot5,507,picat,,SOLVED,9.008989,172.874985
model,8657_with_1_1_2_3_4_4_5_5_8_9_50,picat,,UNK,0.366938,6.801375
model,8657_with_1_1_2_3_4_4_5_5_8_9_50,gecode,,ERR,0.298012,5.529466
tower,tower_070_070_15_070-09,picat,,SOLVED,646.395718,11001.078893
sudoku_opt,sudoku_p29,picat,,SOLVED,6.920622,129.23441
sudoku_opt,sudoku_p29,ortools,,SOLVED,26.754831,499.630129
ttppv,circ20fnonbal,ortools,,UNSAT,36.481066,666.330692
wordpress,Wordpress7_Offers500,picat,,UNK,0.122883,2.284113
model,814_with_1_2_4_6_6_7_8_9,picat,,UNK,0.293213,5.313037
model,6872_with_1_2_3_3_4_4_5_6_7_9_10,picat,,UNK,0.366634,6.812666
model,data2_6_15,ortools,,SOLVED,9.729572,185.496228
ttppv,circ20fnonbal,gecode,,UNK,1200.117514,20774.839822
ttppv,circ20jnonbal,picat,,UNK,0.45848,8.421486
yumi-static,p_4_GS_SG_yumi_grid_setup_3_3,picat,,UNK,0.266353,4.978381
accap,accap_a4_f30_t15,ortools,,SOLVED,2.662067,52.202015
model,6872_with_1_2_3_3_4_4_5_6_7_9_10,ortools,,SOLVED,16.733861,318.894082
tower,tower_070_070_15_070-09,ortools,,SOLVED,52.933501,1001.319764
nfc,24_4_2,ortools,,SOLVED,0.069406,1.301633
sudoku_opt,sudoku_p29,gecode,,UNK,1200.034127,22952.249715
model,8657_with_1_1_2_3_4_4_5_5_8_9_50,ortools,,SOLVED,10.42777,194.748098
dcmst,s_v40_a100_d7,ortools,,SOLVED,107.717502,2048.619755
dcmst,c_v15_a105_d9,picat,,UNK,0.207115,3.87499
spot5,509,picat,,SOLVED,7.301636,131.956633
mapf,ins_g16_p10_a20,picat,,UNK,43.240205,653.81284
accap,accap_a18_f140_t85,picat,,SOLVED,1089.778243,20251.032934
dcmst,c_v15_a105_d9,ortools,,SOLVED,0.785248,15.564902
ttppv,circ14cnonbal,gecode,,UNK,1200.068016,22072.448745
accap,accap_a18_f140_t85,ortools,,SOLVED,119.698071,2377.69826
spot5,507,ortools,,SOLVED,10.018339,199.10618
ttppv,circ20fnonbal,picat,,UNK,0.455855,8.331216
model,data2_6_15,picat,,SOLVED,509.990142,9073.06088
tower,tower_070_070_15_085-09,gecode,,SOLVED,713.959397,14677.749108
model,814_with_1_2_4_6_6_7_8_9,ortools,,SOLVED,3.047853,58.76517
mapf,ins_g24_p20_a10,ortools,,SOLVED,79.666791,1443.399503
yumi-static,p_4_GS_SG_yumi_grid_setup_3_3,ortools,,SOLVED,56.992497,1112.054587
dcmst,c_v15_a105_d6,ortools,,SOLVED,0.892586,17.130998
