model,instance,solver,seed,run_status,run_time,energy
nfc,18_3_12,ortools,,SOLVED,0.069309,1.452938
yumi-static,p_4_GG_GG_yumi_grid_setup_3_3,ortools,,SOLVED,1.620513,75.478322
tower,100_100_20_100-04,ortools,,SOLVED,31.793693,1734.703262
mapf,ins_g16_p10_a20,ortools,,SOLVED,42.303569,858.31732
tower,tower_070_070_15_085-09,ortools,,SOLVED,13.327659,450.480231
yumi-static,p_4_GG_GG_yumi_grid_setup_3_3,picat,,UNK,0.254238,5.035083
nfc,30_5_6,ortools,,SOLVED,0.074436,1.612972
tower,100_100_20_100-04,picat,,SOLVED,1173.566421,19822.300633
ttppv,circ14cnonbal,picat,,UNK,0.2892,5.50896
triangular,n18,ortools,,UNK,1200.158006,79928.311923
dcmst,c_v15_a105_d6,gecode,,SOLVED,18.367758,1033.229166
ttppv,circ20jnonbal,ortools,,UNK,1200.240972,67496.936644
mapf,ins_g16_p10_a20,gecode,,UNK,1205.670284,50832.587823
tower,tower_070_070_15_085-09,picat,,SOLVED,704.744947,12364.800256
dcmst,c_v15_a105_d6,picat,,UNK,0.190615,3.722708
yumi-static,p_4_GG_GG_yumi_grid_setup_3_3,gecode,,SOLVED,90.541707,5026.184643
mapf,ins_g24_p20_a10,gecode,,UNK,1207.790414,23200.201961
triangular,n24,ortools,,UNK,1200.217514,80029.998247
dcmst,s_v40_a100_d7,picat,,UNK,0.213802,4.167836
triangular,n39,ortools,,UNK,1200.80471,79816.74153
tower,tower_500_500_50_300-01,ortools,,UNK,1200.624987,76696.633
model,814_with_1_2_4_6_6_7_8_9,gecode,,SOLVED,512.179917,33400.029364
model,6872_with_1_2_3_3_4_4_5_6_7_9_10,gecode,,ERR,0.296202,5.470811
dcmst,c_v15_a105_d9,gecode,,SOLVED,208.449661,13129.108541
accap,accap_a4_f30_t15,picat,,SOLVED,272.058519,5145.761607
dcmst,c_v20_a190_d9,picat,,UNK,0.354124,7.100018
dcmst,c_v20_a190_d9,ortools,,SOLVED,4.179227,248.636266
wordpress,Wordpress7_Offers500,ortools,,UNK,1200.146178,70451.703249
mapf,ins_g24_p20_a10,picat,,UNK,75.457433,1138.619643
ttppv,circ14cnonbal,ortools,,UNK,1200.17874,70555.581584
model,data3_5_31,ortools,,SOLVED,9.025477,573.677669
spot5,509,ortools,,SOLVED,2.688503,118.596498
spot5,507,picat,,SOLVED,9.023313,165.181399
model,8657_with_1_1_2_3_4_4_5_5_8_9_50,picat,,UNK,0.376236,7.223676
model,8657_with_1_1_2_3_4_4_5_5_8_9_50,gecode,,ERR,0.298822,5.751511
tower,tower_070_070_15_070-09,picat,,SOLVED,642.005186,11005.697532
sudoku_opt,sudoku_p29,picat,,SOLVED,6.918042,133.624659
sudoku_opt,sudoku_p29,ortools,,SOLVED,5.334135,335.695003
ttppv,circ20fnonbal,ortools,,UNSAT,15.836865,461.142069
wordpress,Wordpress7_Offers500,picat,,UNK,0.122855,2.406853
model,814_with_1_2_4_6_6_7_8_9,picat,,UNK,0.287119,5.566696
model,6872_with_1_2_3_3_4_4_5_6_7_9_10,picat,,UNK,0.374532,6.861249
model,data2_6_15,ortools,,SOLVED,0.511473,18.207839
ttppv,circ20fnonbal,gecode,,UNK,1200.121563,44176.492255
ttppv,circ20jnonbal,picat,,UNK,0.457616,8.671671
yumi-static,p_4_GS_SG_yumi_grid_setup_3_3,picat,,UNK,0.265139,5.107164
accap,accap_a4_f30_t15,ortools,,SOLVED,2.707744,182.915182
model,6872_with_1_2_3_3_4_4_5_6_7_9_10,ortools,,SOLVED,7.775851,357.146851
tower,tower_070_070_15_070-09,ortools,,SOLVED,7.648385,412.062117
nfc,24_4_2,ortools,,SOLVED,0.069832,1.429379
sudoku_opt,sudoku_p29,gecode,,UNK,1200.036657,76239.140826
model,8657_with_1_1_2_3_4_4_5_5_8_9_50,ortools,,SOLVED,6.438153,289.91869
dcmst,s_v40_a100_d7,ortools,,SOLVED,53.864037,3440.041242
dcmst,c_v15_a105_d9,picat,,UNK,0.201443,3.935781
spot5,509,picat,,SOLVED,7.311356,136.149188
mapf,ins_g16_p10_a20,picat,,UNK,43.343708,656.175752
accap,accap_a18_f140_t85,picat,,SOLVED,1096.356295,20392.582988
dcmst,c_v15_a105_d9,ortools,,SOLVED,0.582559,24.489806
ttppv,circ14cnonbal,gecode,,UNK,1200.070779,70313.62218
accap,accap_a18_f140_t85,ortools,,SOLVED,38.010082,2547.501474
spot5,507,ortools,,SOLVED,1.63327,70.981691
ttppv,circ20fnonbal,picat,,UNK,0.46086,8.460305
model,data2_6_15,picat,,SOLVED,512.462385,9386.045369
tower,tower_070_070_15_085-09,gecode,,SOLVED,176.498881,10136.417655
model,814_with_1_2_4_6_6_7_8_9,ortools,,SOLVED,1.974948,63.870198
mapf,ins_g24_p20_a10,ortools,,SOLVED,65.806257,1405.003849
yumi-static,p_4_GS_SG_yumi_grid_setup_3_3,ortools,,SOLVED,17.337005,1092.193737
dcmst,c_v15_a105_d6,ortools,,SOLVED,1.042972,57.769079
