model,instance,solver,seed,run_status,run_time,energy
nfc,18_3_12,ortools,,SOLVED,0.059407887,1.25
yumi-static,p_4_GG_GG_yumi_grid_setup_3_3,ortools,,SOLVED,1.370467225,58.33
tower,100_100_20_100-04,ortools,,SOLVED,30.774266209,1695.39
mapf,ins_g16_p10_a20,ortools,,SOLVED,42.020227819,861.98
tower,tower_070_070_15_085-09,ortools,,SOLVED,13.116298457,454.68
yumi-static,p_4_GG_GG_yumi_grid_setup_3_3,picat,,UNK,0.249740833,4.71
nfc,30_5_6,ortools,,SOLVED,0.063723441,1.42
tower,100_100_20_100-04,picat,,SOLVED,1178.306068051,19817.89
ttppv,circ14cnonbal,picat,,UNK,0.282709194,5.359999999999999
triangular,n18,ortools,,UNK,1200.147234161,80467.34
dcmst,c_v15_a105_d6,gecode,,SOLVED,19.680647695,1064.96
ttppv,circ20jnonbal,ortools,,UNK,1200.229783842,68126.6
mapf,ins_g16_p10_a20,gecode,,UNK,1205.921042847,59352.58
tower,tower_070_070_15_085-09,picat,,SOLVED,700.41909358,12152.71
dcmst,c_v15_a105_d6,picat,,UNK,0.180236755,3.57
yumi-static,p_4_GG_GG_yumi_grid_setup_3_3,gecode,,SOLVED,86.491454288,4866.7
mapf,ins_g24_p20_a10,gecode,,UNK,1207.651312537,23428.18
triangular,n24,ortools,,UNK,1200.206582337,79871.9
dcmst,s_v40_a100_d7,picat,,UNK,0.20471243,3.89
triangular,n39,ortools,,UNK,1200.800773749,80084.6
tower,tower_500_500_50_300-01,ortools,,UNK,1200.610026192,77031.6
model,814_with_1_2_4_6_6_7_8_9,gecode,,SOLVED,557.8140105,35678.22
model,6872_with_1_2_3_3_4_4_5_6_7_9_10,gecode,,ERR,0.288849894,5.33
dcmst,c_v15_a105_d9,gecode,,SOLVED,205.841823273,13178.0
accap,accap_a4_f30_t15,picat,,SOLVED,272.477433354,5078.45
dcmst,c_v20_a190_d9,picat,,UNK,0.349191574,6.82
dcmst,c_v20_a190_d9,ortools,,SOLVED,4.113107799,245.71
wordpress,Wordpress7_Offers500,ortools,,UNK,1200.135408261,69975.56999999999
mapf,ins_g24_p20_a10,picat,,UNK,75.468382394,1141.47
ttppv,circ14cnonbal,ortools,,UNK,1200.168106829,70404.06
model,data3_5_31,ortools,,SOLVED,8.972972665,570.25
spot5,509,ortools,,SOLVED,2.485842238,106.38
spot5,507,picat,,SOLVED,9.009534365,169.64
model,8657_with_1_1_2_3_4_4_5_5_8_9_50,picat,,UNK,0.363505463,6.85
model,8657_with_1_1_2_3_4_4_5_5_8_9_50,gecode,,ERR,0.286274303,5.54
tower,tower_070_070_15_070-09,picat,,SOLVED,642.701137111,11053.310000000001
sudoku_opt,sudoku_p29,picat,,SOLVED,6.901856934,134.13
sudoku_opt,sudoku_p29,ortools,,SOLVED,5.284612034,333.71000000000004
ttppv,circ20fnonbal,ortools,,UNSAT,15.871915249,465.43999999999994
wordpress,Wordpress7_Offers500,picat,,UNK,0.11319201,2.25
model,814_with_1_2_4_6_6_7_8_9,picat,,UNK,0.284253465,5.24
model,6872_with_1_2_3_3_4_4_5_6_7_9_10,picat,,UNK,0.368897737,6.68
model,data2_6_15,ortools,,SOLVED,0.504879651,18.29
ttppv,circ20fnonbal,gecode,,UNK,1200.115649776,45816.67
ttppv,circ20jnonbal,picat,,UNK,0.44288583,8.530000000000001
yumi-static,p_4_GS_SG_yumi_grid_setup_3_3,picat,,UNK,0.252063269,5.04
accap,accap_a4_f30_t15,ortools,,SOLVED,4.072541878,277.61
model,6872_with_1_2_3_3_4_4_5_6_7_9_10,ortools,,SOLVED,7.797762111,358.45
tower,tower_070_070_15_070-09,ortools,,SOLVED,7.528010924,403.97
nfc,24_4_2,ortools,,SOLVED,0.059863565,1.23
sudoku_opt,sudoku_p29,gecode,,UNK,1200.025600696,75799.53
model,8657_with_1_1_2_3_4_4_5_5_8_9_50,ortools,,SOLVED,7.210552813,337.67999999999995
dcmst,s_v40_a100_d7,ortools,,SOLVED,80.937925514,5185.039999999999
dcmst,c_v15_a105_d9,picat,,UNK,0.193061323,3.7300000000000004
spot5,509,picat,,SOLVED,7.27650113,136.69
mapf,ins_g16_p10_a20,picat,,UNK,43.585759313,668.91
accap,accap_a18_f140_t85,picat,,SOLVED,1088.783200151,19849.309999999998
dcmst,c_v15_a105_d9,ortools,,SOLVED,0.568887152,24.3
ttppv,circ14cnonbal,gecode,,UNK,1200.058458007,71735.01000000001
accap,accap_a18_f140_t85,ortools,,SOLVED,101.66591724,6762.389999999999
spot5,507,ortools,,SOLVED,1.738259304,78.34
ttppv,circ20fnonbal,picat,,UNK,0.444922623,8.530000000000001
model,data2_6_15,picat,,SOLVED,512.130970307,9312.44
tower,tower_070_070_15_085-09,gecode,,SOLVED,182.072180668,10636.29
model,814_with_1_2_4_6_6_7_8_9,ortools,,SOLVED,2.030444942,68.57
mapf,ins_g24_p20_a10,ortools,,SOLVED,65.806214516,1407.04
yumi-static,p_4_GS_SG_yumi_grid_setup_3_3,ortools,,SOLVED,18.444483393,1161.29
dcmst,c_v15_a105_d6,ortools,,SOLVED,0.971624925,53.79
