model,instance,solver,seed,run_status,run_time,energy
nfc,18_3_12,ortools,,SOLVED,0.069249,1.409055
yumi-static,p_4_GG_GG_yumi_grid_setup_3_3,ortools,,SOLVED,1.366554,57.138769
tower,100_100_20_100-04,ortools,,SOLVED,31.658161,1717.765439
mapf,ins_g16_p10_a20,ortools,,SOLVED,42.387812,847.09433
tower,tower_070_070_15_085-09,ortools,,SOLVED,13.193045,445.546772
yumi-static,p_4_GG_GG_yumi_grid_setup_3_3,picat,,UNK,0.256407,4.849475
nfc,30_5_6,ortools,,SOLVED,0.072538,1.564754
tower,100_100_20_100-04,picat,,SOLVED,1176.105015,19672.44848
ttppv,circ14cnonbal,picat,,UNK,0.29281,5.379747
triangular,n18,ortools,,UNK,1200.161799,79399.392441
dcmst,c_v15_a105_d6,gecode,,SOLVED,19.567677,1027.587823
ttppv,circ20jnonbal,ortools,,UNK,1200.238669,67280.454838
mapf,ins_g16_p10_a20,gecode,,UNK,1205.659104,47270.324727
tower,tower_070_070_15_085-09,picat,,SOLVED,705.543898,12391.52443
dcmst,c_v15_a105_d6,picat,,UNK,0.188527,3.746817
yumi-static,p_4_GG_GG_yumi_grid_setup_3_3,gecode,,SOLVED,93.873779,4984.862482
mapf,ins_g24_p20_a10,gecode,,UNK,1208.154738,23620.008746
triangular,n24,ortools,,UNK,1200.219853,79776.132381
dcmst,s_v40_a100_d7,picat,,UNK,0.21812,4.133839
triangular,n39,ortools,,UNK,1200.815529,80510.84858
tower,tower_500_500_50_300-01,ortools,,UNK,1200.628081,76464.881764
model,814_with_1_2_4_6_6_7_8_9,gecode,,SOLVED,515.270905,34144.016473
model,6872_with_1_2_3_3_4_4_5_6_7_9_10,gecode,,ERR,0.299764,5.502488
dcmst,c_v15_a105_d9,gecode,,SOLVED,215.59906,13177.478837
accap,accap_a4_f30_t15,picat,,SOLVED,271.890309,5177.454519
dcmst,c_v20_a190_d9,picat,,UNK,0.350343,7.067792
dcmst,c_v20_a190_d9,ortools,,SOLVED,4.17499,246.624063
wordpress,Wordpress7_Offers500,ortools,,UNK,1200.142234,69592.251653
mapf,ins_g24_p20_a10,picat,,UNK,75.983385,1131.692234
ttppv,circ14cnonbal,ortools,,UNK,1200.175183,69742.958238
model,data3_5_31,ortools,,SOLVED,9.154493,579.802349
spot5,509,ortools,,SOLVED,2.444856,101.192735
spot5,507,picat,,SOLVED,9.049438,169.786737
model,8657_with_1_1_2_3_4_4_5_5_8_9_50,picat,,UNK,0.373348,6.790082
model,8657_with_1_1_2_3_4_4_5_5_8_9_50,gecode,,ERR,0.299164,5.65996
tower,tower_070_070_15_070-09,picat,,SOLVED,647.467333,11000.057289
sudoku_opt,sudoku_p29,picat,,SOLVED,6.902091,126.38786
sudoku_opt,sudoku_p29,ortools,,SOLVED,5.247988,328.506726
ttppv,circ20fnonbal,ortools,,UNSAT,16.055133,466.841639
wordpress,Wordpress7_Offers500,picat,,UNK,0.122183,2.362847
model,814_with_1_2_4_6_6_7_8_9,picat,,UNK,0.28706,5.460497
model,6872_with_1_2_3_3_4_4_5_6_7_9_10,picat,,UNK,0.375314,6.767988
model,data2_6_15,ortools,,SOLVED,0.513571,17.983902
ttppv,circ20fnonbal,gecode,,UNK,1200.12363,42193.598588
ttppv,circ20jnonbal,picat,,UNK,0.464081,8.584328
yumi-static,p_4_GS_SG_yumi_grid_setup_3_3,picat,,UNK,0.267207,5.066698
accap,accap_a4_f30_t15,ortools,,SOLVED,2.249192,149.827925
model,6872_with_1_2_3_3_4_4_5_6_7_9_10,ortools,,SOLVED,6.78104,299.966029
tower,tower_070_070_15_070-09,ortools,,SOLVED,7.191713,377.109753
nfc,24_4_2,ortools,,SOLVED,0.070153,1.42535
sudoku_opt,sudoku_p29,gecode,,UNK,1200.036996,75377.983484
model,8657_with_1_1_2_3_4_4_5_5_8_9_50,ortools,,SOLVED,5.804757,252.297632
dcmst,s_v40_a100_d7,ortools,,SOLVED,87.459225,5615.896816
dcmst,c_v15_a105_d9,picat,,UNK,0.203235,3.836783
spot5,509,picat,,SOLVED,7.289022,130.929719
mapf,ins_g16_p10_a20,picat,,UNK,43.3877,644.290343
accap,accap_a18_f140_t85,picat,,SOLVED,1092.107595,19650.701524
dcmst,c_v15_a105_d9,ortools,,SOLVED,0.581716,24.34442
ttppv,circ14cnonbal,gecode,,UNK,1200.071403,70899.868971
accap,accap_a18_f140_t85,ortools,,SOLVED,65.663544,4358.222546
spot5,507,ortools,,SOLVED,1.742641,77.941267
ttppv,circ20fnonbal,picat,,UNK,0.459486,8.366129
model,data2_6_15,picat,,SOLVED,511.659874,9179.195556
tower,tower_070_070_15_085-09,gecode,,SOLVED,210.728028,12034.625196
model,814_with_1_2_4_6_6_7_8_9,ortools,,SOLVED,1.926258,61.514186
mapf,ins_g24_p20_a10,ortools,,SOLVED,66.032562,1402.926951
yumi-static,p_4_GS_SG_yumi_grid_setup_3_3,ortools,,SOLVED,19.216304,1210.695325
dcmst,c_v15_a105_d6,ortools,,SOLVED,1.036483,57.144264
