model,instance,solver,seed,run_status,run_time,energy
nfc,18_3_12,ortools,,SOLVED,0.059294617,1.26
yumi-static,p_4_GG_GG_yumi_grid_setup_3_3,ortools,,SOLVED,1.348521566,56.78
tower,100_100_20_100-04,ortools,,SOLVED,30.015141196,1629.24
mapf,ins_g16_p10_a20,ortools,,SOLVED,42.261850913,855.5999999999999
tower,tower_070_070_15_085-09,ortools,,SOLVED,13.229452488,447.01
yumi-static,p_4_GG_GG_yumi_grid_setup_3_3,picat,,UNK,0.24528485,4.71
nfc,30_5_6,ortools,,SOLVED,0.06288229,1.43
tower,100_100_20_100-04,picat,,SOLVED,1182.931943479,19854.23
ttppv,circ14cnonbal,picat,,UNK,0.28281436,5.26
triangular,n18,ortools,,UNK,1200.151104219,79689.48
dcmst,c_v15_a105_d6,gecode,,SOLVED,19.118961626,1045.98
ttppv,circ20jnonbal,ortools,,UNK,1200.230372032,67419.44
mapf,ins_g16_p10_a20,gecode,,UNK,1205.862326828,52890.35
tower,tower_070_070_15_085-09,picat,,SOLVED,700.08649574,12059.720000000001
dcmst,c_v15_a105_d6,picat,,UNK,0.180447394,3.52
yumi-static,p_4_GG_GG_yumi_grid_setup_3_3,gecode,,SOLVED,93.140206551,4914.95
mapf,ins_g24_p20_a10,gecode,,UNK,1207.601840266,23014.08
triangular,n24,ortools,,UNK,1200.212468601,78651.68000000001
dcmst,s_v40_a100_d7,picat,,UNK,0.20301671,4.06
triangular,n39,ortools,,UNK,1200.801527077,80539.53
tower,tower_500_500_50_300-01,ortools,,UNK,1200.607778284,76539.06
model,814_with_1_2_4_6_6_7_8_9,gecode,,SOLVED,547.493109038,34307.33
model,6872_with_1_2_3_3_4_4_5_6_7_9_10,gecode,,ERR,0.287948797,5.28
dcmst,c_v15_a105_d9,gecode,,SOLVED,205.03858389,13023.91
accap,accap_a4_f30_t15,picat,,SOLVED,272.621721015,5199.35
dcmst,c_v20_a190_d9,picat,,UNK,0.344417284,6.93
dcmst,c_v20_a190_d9,ortools,,SOLVED,4.151933697,245.8
wordpress,Wordpress7_Offers500,ortools,,UNK,1200.134538337,69437.64
mapf,ins_g24_p20_a10,picat,,UNK,75.756130287,1128.88
ttppv,circ14cnonbal,ortools,,UNK,1200.164526547,69975.86
model,data3_5_31,ortools,,SOLVED,9.062353894,575.31
spot5,509,ortools,,SOLVED,2.51826284,107.47
spot5,507,picat,,SOLVED,9.008306871,171.22
model,8657_with_1_1_2_3_4_4_5_5_8_9_50,picat,,UNK,0.358633071,6.73
model,8657_with_1_1_2_3_4_4_5_5_8_9_50,gecode,,ERR,0.284544694,5.4
tower,tower_070_070_15_070-09,picat,,SOLVED,645.200728146,10893.58
sudoku_opt,sudoku_p29,picat,,SOLVED,6.919225321,131.24
sudoku_opt,sudoku_p29,ortools,,SOLVED,5.210353244,325.86
ttppv,circ20fnonbal,ortools,,UNSAT,15.974065662,460.01
wordpress,Wordpress7_Offers500,picat,,UNK,0.112309874,2.18
model,814_with_1_2_4_6_6_7_8_9,picat,,UNK,0.277103518,5.26
model,6872_with_1_2_3_3_4_4_5_6_7_9_10,picat,,UNK,0.357257555,6.74
model,data2_6_15,ortools,,SOLVED,0.502686178,17.86
ttppv,circ20fnonbal,gecode,,UNK,1200.110294114,53913.03
ttppv,circ20jnonbal,picat,,UNK,0.44552376,8.39
yumi-static,p_4_GS_SG_yumi_grid_setup_3_3,picat,,UNK,0.254395408,4.96
accap,accap_a4_f30_t15,ortools,,SOLVED,3.022098238,202.84
model,6872_with_1_2_3_3_4_4_5_6_7_9_10,ortools,,SOLVED,5.65933473,231.02
tower,tower_070_070_15_070-09,ortools,,SOLVED,6.822609938,353.87
nfc,24_4_2,ortools,,SOLVED,0.060475082,1.24
sudoku_opt,sudoku_p29,gecode,,UNK,1200.026582619,75520.95000000001
model,8657_with_1_1_2_3_4_4_5_5_8_9_50,ortools,,SOLVED,11.230505939,593.61
dcmst,s_v40_a100_d7,ortools,,SOLVED,74.906348346,4788.26
dcmst,c_v15_a105_d9,picat,,UNK,0.190878376,3.74
spot5,509,picat,,SOLVED,7.284999484,131.32
mapf,ins_g16_p10_a20,picat,,UNK,43.212587368,643.31
accap,accap_a18_f140_t85,picat,,SOLVED,1093.015514192,19697.379999999997
dcmst,c_v15_a105_d9,ortools,,SOLVED,0.643957207,28.83
ttppv,circ14cnonbal,gecode,,UNK,1200.059996936,70651.3
accap,accap_a18_f140_t85,ortools,,SOLVED,76.280895326,5050.459999999999
spot5,507,ortools,,SOLVED,1.621929717,70.65
ttppv,circ20fnonbal,picat,,UNK,0.449730692,8.09
model,data2_6_15,picat,,SOLVED,511.686517931,9050.720000000001
tower,tower_070_070_15_085-09,gecode,,SOLVED,138.733413908,7891.639999999999
model,814_with_1_2_4_6_6_7_8_9,ortools,,SOLVED,2.040277213,69.19
mapf,ins_g24_p20_a10,ortools,,SOLVED,65.560519747,1385.4099999999999
yumi-static,p_4_GS_SG_yumi_grid_setup_3_3,ortools,,SOLVED,12.871444227,792.85
dcmst,c_v15_a105_d6,ortools,,SOLVED,1.032411249,57.34
