model,instance,solver,seed,run_status,run_time,energy
vaccine,v946,ortools,,ERR,0.045432,1.212643
nfc,24_4_2,ortools,,SOLVED,0.071773,1.997066
dcmst,c_v15_a105_d9,ortools,,SOLVED,0.5862,29.07451
accap,accap_a18_f140_t85,ortools,,SOLVED,37.000089,2789.534301
dcmst,c_v20_a190_d9,ortools,,SOLVED,4.145185,279.432268
bool-model-sickness,large-2-2,gecode,,ERR,0.041784,1.105832
peaceable_queens,n25_q4,gecode,,ERR,0.045754,1.183468
vaccine,v857,ortools,,ERR,0.044325,1.184628
dcmst,c_v15_a105_d6,gecode,,SOLVED,18.745015,1202.189306
bool-model-sickness,large-4,ortools,,ERR,0.042408,1.151791
tower,100_100_20_100-04,ortools,,SOLVED,28.553703,1793.269701
stripboard,common-emitter-complex,picat,,ERR,0.042991,1.105038
peaceable_queens,n8_q3,ortools,,ERR,0.046667,1.186887
sudoku_opt,sudoku_p29,gecode,,UNK,1200.037169,85758.133364
vaccine,v7,gecode,,ERR,0.043882,1.120297
peaceable_queens,n11_q5,ortools,,ERR,0.046775,1.202572
vaccine,v857,picat,,ERR,0.044265,1.221676
bool-model-sickness,large-2,gecode,,ERR,0.042225,1.018309
yumi-static,p_4_GS_SG_yumi_grid_setup_3_3,ortools,,SOLVED,15.744436,1112.805868
mapf,ins_g16_p10_a20,gecode,,UNK,1205.919964,71002.940789
mapf,ins_g24_p20_a10,gecode,,UNK,1207.718981,32062.316725
yumi-static,p_4_GG_GG_yumi_grid_setup_3_3,picat,,ERR,0.257346,6.776289
accap,accap_a18_f140_t85,picat,,SOLVED,1096.417105,27815.444112
model,data2_6_15,picat,,SOLVED,507.929471,12736.411242
bool-model-sickness,large-2-2,ortools,,ERR,0.042688,1.148312
vaccine,v8,gecode,,ERR,0.044432,1.121762
ttppv,circ20jnonbal,ortools,,UNK,1200.230338,77700.419494
spot5,507,ortools,,SOLVED,1.731834,90.982493
mapf,ins_g24_p20_a10,picat,,ERR,75.829111,1663.725051
dcmst,s_v40_a100_d7,ortools,,SOLVED,38.305784,2762.617744
wordpress,Wordpress7_Offers500,ortools,,UNK,1200.14121,80228.611449
model,6872_with_1_2_3_3_4_4_5_6_7_9_10,ortools,,SOLVED,6.311828,317.431804
ttppv,circ20fnonbal,ortools,,UNSAT,15.866938,597.128964
peaceable_queens,n25_q4,ortools,,ERR,0.046422,1.192135
mapf,ins_g16_p10_a20,picat,,ERR,43.261801,966.956447
model,814_with_1_2_4_6_6_7_8_9,picat,,ERR,0.293501,7.65739
dcmst,c_v15_a105_d6,ortools,,SOLVED,1.034681,66.372449
yumi-static,p_4_GS_SG_yumi_grid_setup_3_3,picat,,ERR,0.263017,7.257549
accap,accap_a4_f30_t15,ortools,,SOLVED,2.698034,204.145473
nfc,30_5_6,ortools,,SOLVED,0.073913,2.203547
vaccine,v946,gecode,,ERR,0.044406,1.183714
dcmst,c_v15_a105_d6,picat,,ERR,0.194586,5.207017
mapf,ins_g16_p10_a20,ortools,,SOLVED,42.057716,1170.416315
peaceable_queens,n11_q5,gecode,,ERR,0.045956,1.176998
tower,tower_500_500_50_300-01,ortools,,UNK,1200.614747,86713.067931
nfc,18_3_12,ortools,,SOLVED,0.069663,1.9649
ttppv,circ14cnonbal,ortools,,UNK,1200.170046,80168.618924
triangular,n39,ortools,,UNK,1200.798082,90680.793737
peaceable_queens,n8_q3,picat,,ERR,0.04674,1.146909
tower,tower_070_070_15_085-09,picat,,SOLVED,699.011767,17079.118937
vaccine,v8,ortools,,ERR,0.044965,1.132931
nfc,12_2_11,gecode,,SOLVED,2.668044,179.000458
bool-model-sickness,large-4,gecode,,ERR,0.041475,1.112606
blocks,16-4-45,picat,,ERR,0.041663,1.118405
spot5,507,picat,,SOLVED,9.040525,236.310614
vaccine,v946,picat,,ERR,0.044522,1.193052
sudoku_opt,sudoku_p29,picat,,SOLVED,6.925928,182.498861
model,814_with_1_2_4_6_6_7_8_9,gecode,,SOLVED,573.203536,41739.92348
tower,tower_070_070_15_085-09,ortools,,SOLVED,13.066915,556.312419
sudoku_opt,sudoku_p29,ortools,,SOLVED,5.218259,373.204734
vaccine,v857,gecode,,ERR,0.043658,1.158992
yumi-static,p_4_GG_GG_yumi_grid_setup_3_3,gecode,,SOLVED,98.207418,6047.175863
nfc,12_2_11,ortools,,SOLVED,0.067498,1.698116
bool-model-sickness,large-4,picat,,ERR,0.041925,1.136656
model,8657_with_1_1_2_3_4_4_5_5_8_9_50,gecode,,ERR,0.296288,7.895305
blocks,16-4-83,ortools,,ERR,0.042097,1.127988
model,8657_with_1_1_2_3_4_4_5_5_8_9_50,picat,,ERR,0.380199,9.830419
peaceable_queens,n11_q5,picat,,ERR,0.046233,1.194516
spot5,509,picat,,SOLVED,7.302094,188.248358
spot5,509,ortools,,SOLVED,2.806304,149.619308
mapf,ins_g24_p20_a10,ortools,,SOLVED,65.846809,1888.235523
tower,tower_070_070_15_085-09,gecode,,SOLVED,198.437639,12952.543684
stripboard,common-emitter-simple,picat,,ERR,0.041577,1.143552
model,6872_with_1_2_3_3_4_4_5_6_7_9_10,picat,,ERR,0.374503,9.374305
peaceable_queens,n8_q3,gecode,,ERR,0.045763,1.165708
dcmst,c_v15_a105_d9,gecode,,SOLVED,208.624397,14881.948168
blocks,16-4-40,picat,,ERR,0.042236,1.077695
ttppv,circ20fnonbal,gecode,,UNK,1200.121618,76052.142343
blocks,16-4-83,gecode,,ERR,0.041167,1.104733
model,6872_with_1_2_3_3_4_4_5_6_7_9_10,gecode,,ERR,0.299318,7.674908
stripboard,opamp-integrator,ortools,,ERR,0.042777,1.074034
stripboard,common-emitter-complex,ortools,,ERR,0.042014,1.08569
