model,instance,solver,seed,run_status,run_time,energy
vaccine,v946,ortools,,ERR,0.035019941,0.94
nfc,24_4_2,ortools,,SOLVED,0.06229555,1.73
dcmst,c_v15_a105_d9,ortools,,SOLVED,0.573446342,28.72
accap,accap_a18_f140_t85,ortools,,SOLVED,73.161833453,5453.0
dcmst,c_v20_a190_d9,ortools,,SOLVED,4.11832229,278.67
bool-model-sickness,large-2-2,gecode,,ERR,0.032037654,0.8700000000000001
peaceable_queens,n25_q4,gecode,,ERR,0.036224201,0.9400000000000001
vaccine,v857,ortools,,ERR,0.034583581,0.94
dcmst,c_v15_a105_d6,gecode,,SOLVED,18.755304495,1197.18
bool-model-sickness,large-4,ortools,,ERR,0.032476293,0.8700000000000001
tower,100_100_20_100-04,ortools,,SOLVED,31.282841001,1984.02
stripboard,common-emitter-complex,picat,,ERR,0.0323518,0.8700000000000001
peaceable_queens,n8_q3,ortools,,ERR,0.036490151,0.92
sudoku_opt,sudoku_p29,gecode,,UNK,1200.029332081,85373.42
vaccine,v7,gecode,,ERR,0.034669448,0.8600000000000001
peaceable_queens,n11_q5,ortools,,ERR,0.037049338,0.97
vaccine,v857,picat,,ERR,0.034414723,0.94
bool-model-sickness,large-2,gecode,,ERR,0.092548856,1.37
yumi-static,p_4_GS_SG_yumi_grid_setup_3_3,ortools,,SOLVED,17.399620561,1247.25
mapf,ins_g16_p10_a20,gecode,,UNK,1205.697743749,70503.69
mapf,ins_g24_p20_a10,gecode,,UNK,1207.742335495,42072.33
yumi-static,p_4_GG_GG_yumi_grid_setup_3_3,picat,,ERR,0.244337108,6.59
accap,accap_a18_f140_t85,picat,,SOLVED,1093.358461907,27694.46
model,data2_6_15,picat,,SOLVED,507.073892511,12714.61
bool-model-sickness,large-2-2,ortools,,ERR,0.032494337,0.8900000000000001
vaccine,v8,gecode,,ERR,0.034286299,0.9
ttppv,circ20jnonbal,ortools,,UNK,1200.224489651,77489.70999999999
spot5,507,ortools,,SOLVED,1.729930581,91.28
mapf,ins_g24_p20_a10,picat,,ERR,75.470681196,1660.21
dcmst,s_v40_a100_d7,ortools,,SOLVED,53.040166754,3863.12
wordpress,Wordpress7_Offers500,ortools,,UNK,1200.12931459,79892.57
model,6872_with_1_2_3_3_4_4_5_6_7_9_10,ortools,,SOLVED,5.430210125,255.03
ttppv,circ20fnonbal,ortools,,UNSAT,15.778366967,592.99
peaceable_queens,n25_q4,ortools,,ERR,0.036832233,0.95
mapf,ins_g16_p10_a20,picat,,ERR,43.559364245,977.14
model,814_with_1_2_4_6_6_7_8_9,picat,,ERR,0.289019392,7.4799999999999995
dcmst,c_v15_a105_d6,ortools,,SOLVED,1.027331816,66.09
yumi-static,p_4_GS_SG_yumi_grid_setup_3_3,picat,,ERR,0.253006668,6.93
accap,accap_a4_f30_t15,ortools,,SOLVED,3.096093816,235.4
nfc,30_5_6,ortools,,SOLVED,0.064950935,1.95
vaccine,v946,gecode,,ERR,0.035441997,0.9400000000000001
dcmst,c_v15_a105_d6,picat,,ERR,0.180911196,4.91
mapf,ins_g16_p10_a20,ortools,,SOLVED,42.01362936,1179.35
peaceable_queens,n11_q5,gecode,,ERR,0.036509225,0.93
tower,tower_500_500_50_300-01,ortools,,UNK,1200.607872614,85543.57
nfc,18_3_12,ortools,,SOLVED,0.060491305,1.73
ttppv,circ14cnonbal,ortools,,UNK,1200.160920657,80239.96
triangular,n39,ortools,,UNK,1200.790973459,90628.67
peaceable_queens,n8_q3,picat,,ERR,0.036204628,0.92
tower,tower_070_070_15_085-09,picat,,SOLVED,705.640215389,17184.52
vaccine,v8,ortools,,ERR,0.03516538,0.9000000000000001
nfc,12_2_11,gecode,,SOLVED,2.660450721,178.23000000000002
bool-model-sickness,large-4,gecode,,ERR,0.03133133,0.8500000000000001
blocks,16-4-45,picat,,ERR,0.031881428,0.8700000000000001
