model,instance,solver,seed,run_status,run_time,energy
tower,tower_070_070_15_085-09,gecode,,SOLVED,178.16754,5309.661029
ttppv,circ20jnonbal,ortools,,UNK,1200.260932,30893.917188
triangular,n39,ortools,,UNK,1200.88667,35215.57733
model,8657_with_1_1_2_3_4_4_5_5_8_9_50,picat,,UNK,0.456058,8.781532
model,6872_with_1_2_3_3_4_4_5_6_7_9_10,picat,,UNK,0.493852,8.845803
tower,tower_500_500_50_300-01,ortools,,UNK,1200.628581,34145.574574
dcmst,s_v40_a100_d7,ortools,,SOLVED,139.808975,3898.147735
dcmst,c_v15_a105_d9,ortools,,SOLVED,0.867579,21.591437
spot5,509,picat,,SOLVED,8.963047,171.787647
accap,accap_a4_f30_t15,ortools,,SOLVED,4.776753,140.940192
tower,tower_070_070_15_070-09,picat,,SOLVED,915.772569,14334.02965
mapf,ins_g24_p20_a10,gecode,,ERR,57.970145,886.15508
ttppv,circ20fnonbal,picat,,UNK,0.559665,10.865513
model,data3_5_31,ortools,,SOLVED,21.267669,606.120031
tower,100_100_20_100-04,ortools,,SOLVED,52.722985,1418.276215
nfc,24_4_2,ortools,,SOLVED,0.094433,1.719539
sudoku_opt,sudoku_p29,ortools,,SOLVED,11.882418,331.944096
mapf,ins_g16_p10_a20,gecode,,ERR,44.344695,640.879768
mapf,ins_g16_p10_a20,picat,,UNK,52.56512,888.223373
nfc,18_3_12,ortools,,SOLVED,0.09763,1.751278
model,data2_6_15,ortools,,SOLVED,0.809678,19.57014
triangular,n18,ortools,,UNK,1200.165203,34524.226072
yumi-static,p_4_GG_GG_yumi_grid_setup_3_3,picat,,UNK,0.324243,6.241074
mapf,ins_g16_p10_a20,ortools,,SOLVED,51.944591,1023.205815
ttppv,circ14cnonbal,ortools,,UNK,1200.184289,31356.197438
model,6872_with_1_2_3_3_4_4_5_6_7_9_10,ortools,,SOLVED,9.574971,228.402491
tower,tower_070_070_15_085-09,picat,,SOLVED,912.393502,17004.975509
model,8657_with_1_1_2_3_4_4_5_5_8_9_50,gecode,,ERR,0.375077,7.049787
yumi-static,p_4_GS_SG_yumi_grid_setup_3_3,ortools,,SOLVED,21.806106,603.380781
sudoku_opt,sudoku_p29,gecode,,UNK,1200.046315,34531.704018
spot5,507,ortools,,SOLVED,1.858355,44.763313
dcmst,c_v15_a105_d9,picat,,UNK,0.247537,4.816027
dcmst,c_v15_a105_d6,ortools,,SOLVED,2.052594,55.812419
dcmst,s_v40_a100_d7,picat,,UNK,0.268239,5.130236
ttppv,circ14cnonbal,picat,,UNK,0.360365,6.912152
nfc,30_5_6,ortools,,SOLVED,0.099016,1.861689
ttppv,circ14cnonbal,gecode,,UNK,1200.081945,33162.402469
dcmst,c_v15_a105_d6,gecode,,SOLVED,28.576703,847.850551
tower,tower_070_070_15_070-09,ortools,,SOLVED,17.984883,489.074066
ttppv,circ20jnonbal,picat,,UNK,0.569008,10.997225
spot5,509,ortools,,SOLVED,4.06434,102.900921
accap,accap_a18_f140_t85,ortools,,SOLVED,159.902977,4584.267072
triangular,n24,ortools,,UNK,1200.233213,34423.143263
mapf,ins_g24_p20_a10,ortools,,SOLVED,94.309275,1712.597606
model,6872_with_1_2_3_3_4_4_5_6_7_9_10,gecode,,ERR,0.373298,7.02458
yumi-static,p_4_GS_SG_yumi_grid_setup_3_3,picat,,UNK,0.332372,6.411544
model,8657_with_1_1_2_3_4_4_5_5_8_9_50,ortools,,SOLVED,11.883304,291.752306
wordpress,Wordpress7_Offers500,ortools,,UNK,1200.149855,31409.017066
model,814_with_1_2_4_6_6_7_8_9,picat,,UNK,0.364076,6.848493
yumi-static,p_4_GG_GG_yumi_grid_setup_3_3,ortools,,SOLVED,2.40806,61.300624
model,data2_6_15,picat,,SOLVED,614.72411,11766.351226
model,814_with_1_2_4_6_6_7_8_9,gecode,,SOLVED,1046.960199,31702.237934
dcmst,c_v15_a105_d9,gecode,,SOLVED,361.749231,10949.301927
sudoku_opt,sudoku_p29,picat,,SOLVED,8.627682,169.944634
dcmst,c_v20_a190_d9,ortools,,SOLVED,8.79996,243.182912
dcmst,c_v15_a105_d6,picat,,UNK,0.234235,4.55553
yumi-static,p_4_GG_GG_yumi_grid_setup_3_3,gecode,,SOLVED,145.275094,4182.647251
tower,tower_070_070_15_085-09,ortools,,SOLVED,21.73777,482.014696
mapf,ins_g24_p20_a10,picat,,UNK,109.124366,1285.856876
accap,accap_a4_f30_t15,picat,,SOLVED,361.145257,7084.912038
model,814_with_1_2_4_6_6_7_8_9,ortools,,SOLVED,3.192358,72.276183
ttppv,circ20fnonbal,ortools,,UNSAT,22.976858,509.498512
ttppv,circ20fnonbal,gecode,,UNK,1200.145987,32752.455887
spot5,507,picat,,SOLVED,11.050096,216.866571
wordpress,Wordpress7_Offers500,picat,,UNK,0.157236,2.986565
dcmst,c_v20_a190_d9,picat,,UNK,0.435952,8.573709
