model,instance,solver,seed,run_status,run_time,energy
tower,tower_070_070_15_085-09,gecode,,SOLVED,317.04909041,1399.4699999999998
ttppv,circ20jnonbal,ortools,,UNK,1200.245367366,1775.77
triangular,n39,ortools,,UNK,1200.874510899,1180.26
model,8657_with_1_1_2_3_4_4_5_5_8_9_50,picat,,UNK,0.445750622,8.64
model,6872_with_1_2_3_3_4_4_5_6_7_9_10,picat,,UNK,0.472161156,8.58
tower,tower_500_500_50_300-01,ortools,,UNK,1200.63628007,1303.4
dcmst,s_v40_a100_d7,ortools,,SOLVED,88.348984742,465.09000000000003
dcmst,c_v15_a105_d9,ortools,,SOLVED,1.044086917,26.7
spot5,509,picat,,SOLVED,8.964640378,171.79000000000002
accap,accap_a4_f30_t15,ortools,,SOLVED,4.722613168,139.3
tower,tower_070_070_15_070-09,picat,,SOLVED,853.994813832,1708.2900000000002
mapf,ins_g24_p20_a10,gecode,,ERR,58.926415769,847.1299999999999
ttppv,circ20fnonbal,picat,,UNK,0.556407234,10.5
model,data3_5_31,ortools,,SOLVED,20.602581269,602.8699999999999
tower,100_100_20_100-04,ortools,,SOLVED,32.366288594,832.99
nfc,24_4_2,ortools,,SOLVED,0.082685494,1.53
sudoku_opt,sudoku_p29,ortools,,SOLVED,12.22973034,342.02
mapf,ins_g16_p10_a20,gecode,,ERR,44.365190181,662.5600000000001
mapf,ins_g16_p10_a20,picat,,UNK,52.909704535,864.3
nfc,18_3_12,ortools,,SOLVED,0.08210974,1.48
model,data2_6_15,ortools,,SOLVED,0.795785926,19.4
triangular,n18,ortools,,UNK,1200.153147936,1590.59
yumi-static,p_4_GG_GG_yumi_grid_setup_3_3,picat,,UNK,0.309432174,6.04
mapf,ins_g16_p10_a20,ortools,,SOLVED,52.609278602,1026.96
ttppv,circ14cnonbal,ortools,,UNK,1200.172462059,1368.5
model,6872_with_1_2_3_3_4_4_5_6_7_9_10,ortools,,SOLVED,11.063870544,274.42999999999995
tower,tower_070_070_15_085-09,picat,,SOLVED,922.761711574,666.22
model,8657_with_1_1_2_3_4_4_5_5_8_9_50,gecode,,ERR,0.359882351,6.789999999999999
yumi-static,p_4_GS_SG_yumi_grid_setup_3_3,ortools,,SOLVED,29.773694183,836.3599999999999
sudoku_opt,sudoku_p29,gecode,,UNK,1200.037802114,1491.7600000000002
spot5,507,ortools,,SOLVED,1.836589066,44.43000000000001
dcmst,c_v15_a105_d9,picat,,UNK,0.237274411,4.640000000000001
dcmst,c_v15_a105_d6,ortools,,SOLVED,2.009630798,54.93
dcmst,s_v40_a100_d7,picat,,UNK,0.256163237,4.98
ttppv,circ14cnonbal,picat,,UNK,0.345072741,6.6899999999999995
nfc,30_5_6,ortools,,SOLVED,0.087262787,1.67
ttppv,circ14cnonbal,gecode,,UNK,1200.079853006,1813.09
dcmst,c_v15_a105_d6,gecode,,SOLVED,28.957459357,843.33
tower,tower_070_070_15_070-09,ortools,,SOLVED,18.959214663,518.1500000000001
ttppv,circ20jnonbal,picat,,UNK,0.557946463,10.84
spot5,509,ortools,,SOLVED,5.532647122,143.78
accap,accap_a18_f140_t85,ortools,,SOLVED,241.253152152,1863.17
triangular,n24,ortools,,UNK,1200.219995602,1593.58
mapf,ins_g24_p20_a10,ortools,,SOLVED,93.869781737,697.27
model,6872_with_1_2_3_3_4_4_5_6_7_9_10,gecode,,ERR,0.359446778,6.75
yumi-static,p_4_GS_SG_yumi_grid_setup_3_3,picat,,UNK,0.32355659,6.3
model,8657_with_1_1_2_3_4_4_5_5_8_9_50,ortools,,SOLVED,14.673411737,372.48
wordpress,Wordpress7_Offers500,ortools,,UNK,1200.136114715,1429.32
model,814_with_1_2_4_6_6_7_8_9,picat,,UNK,0.355114229,6.77
yumi-static,p_4_GG_GG_yumi_grid_setup_3_3,ortools,,SOLVED,2.28743718,58.370000000000005
model,data2_6_15,picat,,SOLVED,614.799779572,760.6800000000001
model,814_with_1_2_4_6_6_7_8_9,gecode,,SOLVED,1114.245344534,1051.62
dcmst,c_v15_a105_d9,gecode,,SOLVED,367.765418954,1063.69
sudoku_opt,sudoku_p29,picat,,SOLVED,8.604710661,169.91
dcmst,c_v20_a190_d9,ortools,,SOLVED,12.175905682,339.47
dcmst,c_v15_a105_d6,picat,,UNK,0.224621092,4.38
yumi-static,p_4_GG_GG_yumi_grid_setup_3_3,gecode,,SOLVED,164.307786561,1333.15
tower,tower_070_070_15_085-09,ortools,,SOLVED,22.144834292,471.45
mapf,ins_g24_p20_a10,picat,,UNK,108.775016508,1304.2
accap,accap_a4_f30_t15,picat,,SOLVED,360.277162122,1050.71
model,814_with_1_2_4_6_6_7_8_9,ortools,,SOLVED,3.035011998,68.38
ttppv,circ20fnonbal,ortools,,UNSAT,23.138999428,508.71000000000004
ttppv,circ20fnonbal,gecode,,UNK,1200.136083537,908.0699999999999
spot5,507,picat,,SOLVED,11.037275301,216.37
wordpress,Wordpress7_Offers500,picat,,UNK,0.145317854,2.77
dcmst,c_v20_a190_d9,picat,,UNK,0.426616476,8.33
